Interest,Gain,Positive,Speed,Difficult,Content
3,3,3,3,3,若有認真讀的話今天的考試難度應該算適中，只是第一次寫演算法有點不太適應，用了一點C++的寫法，且全英文的題目也不太適應，系望在下次考試時能有更好的成績
3,3,3,3,3,今天是上大學以來第一次考試，也因為是第一次，所以特別緊張，再加上考試範圍很大，實在是緊張更緊張，但好險有看到幾個考試的重點，也有看考古題，希望大學的第一次考試還算順利
3,1,3,3,5,上大學後免有些緊張，但是看了書還不是很明白在說甚麼。考試時有時連題目的意思都看不懂，好像有點慘。還有幾題看錯的，希望下次會比較好。雖燃煤把書看完，但是我覺得我已經盡量利用時間看書，不管結果如何，我都覺得對得起自己的良心。邏輯思考對打成是真的很需要耶!
3,1,3,5,5,這次考試範圍有點大，時間緊，書來的又慢，老師講得頗快。所以就算有認真上課，回家狂k書，對於這次考試的效益皆不大。但有了這次考試的經驗，我對資概考試方向更瞭解一點。希望能持續進步，把資概讀好!
3,3,3,3,3,第一次考這類型的考試，覺得很陌生，但還是努力去理解題目並完成作答，考試時間一小時覺得有點小緊張，但還是盡量把會的題目做完了。
3,3,3,3,5,題目還行只是我英文需要再加強因為題目中的一些單字我都看不懂還好有在時間內寫完
3,5,5,3,1,我覺得這次的考試不算難，只要有用心準備考試，要及格是輕而易舉的事。這種全英文的考試我覺得非常好，不知不覺提升了我們的英文能力，而英文對我們來說非常重要。
3,3,3,3,1,題目上還算看得懂，但對於寫演算法還是不熟練及陌生，拿到書的時間不太夠準備考試，難易度算中偏易，但答案回答的都不太完全，得補上原文書筆記的進度。
3,5,5,3,1,關於程式的部分，多加思考就寫的出來，因此利用了題目卷的兩大空白背面，寫寫畫畫地將流程圖寫出來，特別是在排序的那一大題，寫了有紙張的一半，判斷的條件在多讀幾次題目就慢慢浮現，在最後的名人事蹟撰寫，必須要有額外的閱讀才能流暢作答，光看題目無法聯想也不是運用邏輯，對於這次的考試，有自己另外加強課外閱讀十分重要，當然課本也不可少，多數題目還是近似課本所授，若不精讀就很難取得較高的成績。
3,3,3,3,5,考試難度稍難，但還是可以看得懂，也能寫出自己的答案，有把握不會太慘。
3,3,5,3,3,這是我進入大學後的第一次考試，除了不適應以外，我覺得我準備的食在不夠充分，考前準備是非常重要的，下次再考試前，我會更努力準備。
3,1,3,3,5,本週是開學以來資概課第一次小考，說實在因為沒拿到考古題，有限時間內也沒很充足的複習，導致有些題目甚至看不太懂，無從下手，也有些是看不懂英文，經過這次的經驗，以後定會認真練習，做好準備。
3,1,3,3,5,上大學後的第一次考試，帶給我不小的震撼，經過此次的洗禮，該好好審視自我的不足與怠惰，面對下一次的考試，不想再有今天的窘境了。
3,5,3,3,5,The test is a little bit difficult。 While doing the test， I had found some thing I didn't study。 The test is really a good way for me to learn new things。 It is also really tired for me to study English textbook。 I also learn that I should work with my classmate together to finish the studying of test。
3,3,3,3,5,這是上大學的第一次考試 居然是用全英文 有些看不懂不太會寫 但還是勉勉強搶寫完了 希望有60分
3,3,3,3,1,考試沒有很難，但是閱讀題目的速度不夠快，英文方面還需要再加強。寫起來也會卡住，單字量不足。
3,5,5,3,3,這次考試我非常認真背了老師上課所說過會考的名人事蹟，與和資訊有關的名詞，也花了許多時間在研究一些製作演算法和檢驗其效能的題目，但我在研究時就發現我在邏輯思考上並不是那麼清楚，加上英文的單字量太少，所以常常會看不懂題目的意思或是判斷錯誤，這次考試在寫類似題型的題目時也碰到了比較多的困難，這可能就是我最需要加強跟改進的地方，之後會更加努力去加強這一塊的能力。
3,3,3,3,3,這次是我大學遇到的第一次考試，已經很久沒考試了，希望至少考得還可以。這次考試前看了課本的例題、也查了圖靈這個人的資訊，做了一些準備。寫考卷的過程中並不是太順利，較多行的演算法我似乎還無法讀得很順暢。雖然基本題我大多都有順利回答，不過考完試後和同學討論發現，有幾題我題目似乎看得不夠清楚，回答的可能不夠詳細，下次我應該要更細心看清楚題目，英文的題目更應該細看才能確保回答正確。
3,3,3,3,3,我認為呢 有考試才會迫使我們讀書 這是事實，但是 一次考的範圍這麼多 很多人只知道背考古題，沒有好好地消化課程的內容 ，但我不是其中之一啦，希望下次能考好
3,3,5,3,3,這次考試讓我看出自己的不足，英文是很重要的工具，要是考試題目看不懂，考前的準備就完全沒有用了。這次考試，在與同學討論之後，我發現大部分的題目我都會寫，只是題目看不懂，這次之後要好好學英文。
3,3,5,3,3,第一次參加大學端的考試，與高中有極大的差距，往往都是在a、b、c、d中找尋的答案消失了，換來的是空白的紙張，嘗試寫出自己心中的答案，或許有對有錯，但我認為透過這種方式更加可以檢視自己學習的結果。
3,3,3,3,3,這次考試太急了 沒啥準備。。。  不知道會不會考砸，果然原文書 還是有點太吃力了~，只能花時間多看了
3,5,5,3,1,今天是大學第一次的考試，雖然考試前有知道是全英文，但當下看到還真的蠻震撼的，還好老師有些題目並沒有要求一定要用英文寫，如果規定全部要用英文寫的話，我應該會死很慘吧，今天的題目差一題就全部寫完了，第一題想不到用什麼方式表達結果就打鐘了，有點不甘心，下次再努力，希望這次考試我寫的都會對，考試難度我覺得並沒有到很難，有認真看書就會寫，定義那些的，有讀就有分，而且看原文書真的可以增進閱讀的能力，我覺得是一舉兩得，希望我能這樣一直保持，並且向前邁進。
3,3,5,3,3,今天是這個學期資訊概論第一次考試，我非常緊張和擔心。為了今天這個考試，我準備了整整一個星期。我查了很多單字和那個字的意思。我覺得讀資概的課本不但能增加本科系的知識之外，還能增強我們的英文能力。經過了今天的考試，我覺得我好像比較能理解考試範圍的內容，也比較知道自己哪裡沒念好，要再讀一遍。希望我的成績不會太爛。
3,3,3,3,1,這次考試讓我再一次體會我英文程度的不足，我在最後幾分鐘終於想到那個單字的意思時已經來不及改答案了，不然其實我覺得我都會寫的。另外一方面來說，我覺得時間對我來說頗緊迫的，像是第一題的寫演算法就讓我有點慌了，明明這種東西平常都可以寫的很順，可是當時還是腦子空白很久，可能是因為有時間限制讓我寫得很有壓力吧。
3,3,3,3,1,這次是升上大學以來第一次的考試，我非常認真準備，雖然還是有讀不完，跟高中最大的不一樣，就是題目都是英文，需要適應一下，好險考題都看得懂，也都有回答出來，希望成績不錯。
3,3,3,3,3,總體還順利，就是考試好多英文看不懂。。。
3,3,5,3,3,第一次的資概考試，有點緊張，非常擔心看不懂題目，但是當拿到考卷後，發現其實還是會寫的，只是不是很多題，不會寫的也不空白，盡力把他寫完。然後希望下次自己能再進步。
3,3,5,3,3,考前很認真的準備，希望能有好成績，雖然要準備的內容有點多，不過只要上課有認真聽講，就比較容易研讀，讀書是自己的事，要分配好時間，才能全力以對，希望往後都能更進步，一次比一次好
5,5,3,3,3,這次的考試內容相當的有意思，這不僅讓我一次性的對前幾章節有更深入的了解，更整理出了自己在那些地方沒學清楚。雖然這次考試的成績應該不會太好，但我認為自己找到了學習的方向。最後只能說，還是希望有中文版可以對照原文書，讓考試時更能了解問題所追求的答案。
3,3,3,3,3,第一次考都是英文題目的考試，對於英文不好的我原本感到非常害怕，然後內容又非常多。但考了一次後發現沒有那麼可怕，很多地方也是老師上課有提到過的，希望能夠有不錯的成績。
3,3,3,3,3,第一題的部分，雖然判斷是否為質數的部分我有寫出來了，但是聽一些同學說，如果是非質數的話還要找它的因數，果然把題目看清很重要。後面的部分並沒有到很吃力，但是字串配對的那題，我有一點困惑要寫Theta(n - m +1)還是Theta(n - m)，雖然事後想了一下覺得應該是要寫後者，但是果然是因為我還不熟悉的關係啊。由於在第一題寫太久結果題目只有做到4。(a)，事後問了其他同學，似乎沒有太難的題目，分數就這樣飛走覺得有一些可惜。
3,3,3,3,5,我覺得考題有點難，可是如果認真看還是看得懂的，謝謝老師。
3,3,3,3,3,這次的考試頁數很多所以來不及看課本，但是在考前有看過考古題，所以考試難度不算高，希望下次考試前可以先把課本讀過一遍，這樣感覺會有比較多的收穫。
3,3,1,3,3,今天的考試自認並沒有妥善的準備，尤其對於演算法的練習實在不足。同時也發現到了建築邏輯的不易，需要多加練習。在質合數判斷+列出合數因數的那題花太多時間了~~~~
3,5,5,3,3,經過考試後，我能更加瞭解本科的重點，並理解考試的方式，在下次的考試也能準備得更有效率，更加充分，對本科有更深入的了解
3,3,3,5,3,還好有認識的學長考前幫我提點觀念跟解惑 不然這次考試題目數量多到差點寫不完，雖然感覺是都從課本內出蠻多 不過課本內習題也是非常多 配上上課速度極難消化 ，對之後的考試還是蠻擔心的
3,3,3,3,3,第一次考試，對於出題都還不太了解，剛看到題目有點不知所措，希望自己有了這次的經驗可以對下次的考試更有充分的準備。
3,5,5,3,3,這次考試讓我理解到原來資訊概論的題目能夠那麼變化且具有深度，從考試的內容，我複習了圖靈對電腦科學的貢獻，史蒂芬賈伯斯的貢獻；當然還有演算法的重要性，包含怎麼樣算是一個好的演算法，如何去構想和他們如何影響我們的程式。在這次的考試中，我又更加了解自己所學要如何應用。另外，第一題我也運用了pseudocode去寫如何找質數，有別以往用programing code，需要稍微轉換一些語法跟敘述，希望我能作答正確。
3,3,3,3,3,考試前有閱讀了許多課本的人物及故事，而賈伯斯是蠻意外的考題，因為上課老師有提到過，但課本上沒有讀到，所以沒複習到 那一題也空著
3,3,3,3,3,這次的考試沒有想像中的難，不過其中有一大題的演算法沒有看懂，希望部會扣太多分。另外最後一題開放性問答我也不太會寫，這種題目滿討厭的。
3,3,3,3,3,考試時間有點短，時間感覺不太夠
3,3,3,3,1,這次的考試出題範圍較往年少，因此出題也比較細，雖然今年多了比較多邏輯思考的部分，但我相信我的成績應該不會太差
3,3,3,3,3,考試基本上是高中生最熟悉的東西，來到大學馬上就考了第一次平時考，對於上課的內容還是不太理解，還有發現老師會考一些課本沒有的內容，代表要拿滿分更加的不容易，希望在未來的考試裡面，我可以更多努力去把進度念完
3,3,5,3,3,這次考試我幾乎來不及準備完，而且我太多單字不會，導致我在越度課本的速度整個大幅降低。我想我以後應該多多利用零碎時間背多一點單字。不然我考試看到考卷，也是整個只有發呆的分。而且我覺得我這次讀書時間分配不好，才會導致我讀不完。加上我知道自己上課都有些聽不懂，應該要先課前預習才對。我應該把心態轉換好，不應該抱持著以前高中的心態。
3,3,3,3,1,今天老師考試的內容我覺得沒有說相當困難，只要能看懂題目以及有著基本的知識，基本上答對八成以上並不會太難，而且老師考的內容幾乎課堂上都有略提一點，例如說圖靈的相關背景，更幫助我在答題時更加順利
3,3,3,3,3,整體來說應該是不算太難，只是全英文讓我在理解題意上有點吃力。捫心自問，自己的準備也還不足夠，成績想必也不甚理想了，不過也只能在下次的考試再努力。
3,1,3,3,5,今天第一次小考， 不是很習慣， 覺得看了很久但考試還是都不太會， 書裡資料量太多， 抓不太到重點， 有點沮喪
3,3,3,3,5,看了書但還是有點不是很會寫，希望下次能找到方法。
3,1,1,3,5,理所當然的沒把書看完，只看了考古題。果然英文才是最艱難的，連題目都看不懂。陷入了不會寫英文，可是寫中文又有點奇怪的糾結。才剛考試立可帶就沒了，有點悲慘。大學後的第一次考試就獻給資概了。
3,3,3,3,5,難，有點來不及寫完，希望下次能進步
3,3,3,3,3,我覺得題目很棒，稍微思考一下就會有方向，只是有些單字看不太懂，無法清楚了解題目意思，只能憑想像揣摩。
3,3,3,3,3,大學的第一次考試，發現範圍真的很大，也不能完全讀完，能準備多少就算多少，也許是我看太慢了，不過考試題目有些都和老師上課說的有關，所以還能夠寫一些，題目，下次要再多花一點時間讀書了。
3,3,5,3,3,第一次考試後比較了解考試的出題方向了，雖然第一次的看書方法失敗了，應該更往重點去探討並加速閱讀速度，希望下一次可以考到理想的成績。我還需要更努力
3,3,5,3,3,這次的考試是我上大學以來第一次的考試，我覺得大學和高中的考試很不一樣，高中的考試有八成是選擇題，剩下的才是填充題，大學則全部都是填充題，這樣看來大學的考試多了許多挑戰，必須要更加努力的讀書才能夠答出題目所要的答案，所以我算是提前許多準備了，但是130多頁的原文書實在有些太多了，所以我是到考試當天的早上才把考試範圍全部讀完，讀起書來是越來越快的，因為有許多單字是重複的，所以我是讀得越來越順，下次一定能夠更早讀完考試範圍，準備得更加充分，提高分數!!!
3,3,5,3,5,這次是第一次的小考，因為課本來的比較遲，前面教的部分要自己再找時間細細研究，這在準備上有點小小的阻礙，可是在真正要考試時，才發現最大的障礙是對於題目的理解有困難以及時間的掌控，就算是原本會做的題目光是理解就耗去了相當長的一段時間，這對我是相當挫敗的，不過及早發現及早治療，我相信在下次小考時這個問題一定能改善許多。
3,5,5,3,3,這次考試讓我檢視許多演算法的問題，也對讀書方式有了些許的改變，不在只是讀取文字而已，而是要去了解其意義，有了瞭解才能寫出題目。
3,3,3,3,3,這次為資概的第一次小考，我認為題目與考古題太為相似，讓有些同學未從課本看起，而是直接背題目來準備考試，使得考試失去了驗收同學學習效果的本質
3,5,3,3,3,考卷難度沒有想像中難，並且難易適中，考完這張考卷之後，可以了解資概的方向，完全吸收課本裡的概念
3,3,3,3,3,第一次用英文考試，所以不太適應，寫的時候有點趕，思考的時間太長了，沒有時間去檢查。
3,3,5,3,3,我衹能?我很盡力並用心地作答了，希望是好的結果吧！因?我是馬來西亞人，過往的考試都是以英文來做答的，希望不會有什?影響。很感恩考試的題目考古題都有出現過，因?真的不明白考卷不知道會以什?樣的形式來出，所以考古題真的幫了很大的忙！第一次的考試真的讓我感到壓力萬分，希望以后的考試中都能順利的完成！也希望考試成績可以快些公佈，教授可以與我們討論考題。
3,3,3,3,5,問題有點難度 但溫習過後應該可以處理  都是一些課本上的內容~ 對於老師出題感覺能成功引導我們想考 一些演算法的概念 使我們跟上進度
3,3,3,3,3,雖然題目都看得懂但覺得自己沒發揮好，而且寫的答案不是很滿意，覺得自己很多沒念熟，最後一題還還有沒看到題目的，粗心一直以來都是我的毛病結果還是犯了，希望之後能繼續努力考更好。
3,3,3,3,3,今天第一次小考，個人認為有點太快，往年都是10月中才考，今年9月底就考了，而且只有不到一週時間準備，但我還是戰戰兢兢的準備，第一題要設計一個演算法讓我卡了一陣子，導致有2個小題未完成，但其他有回答的部分應該都是正確的
3,3,3,3,3,考完這次試以後 我要提醒自己每天都要讀英文，英文真的很需要更努力加強，要把之前的讀書方式改掉，每天都要讀書 分攤壓力，不然用快速記憶法只會考得不好又忘得快
3,3,3,3,3,第一次小考，還蠻緊張的。經歷這一次小考，我覺得對我來說最不利的是全英的題目，有可能一個單字看不懂就完了。畢竟我學測英文只有前標，還有很多不足之處啊。。。。。。之後要多精進英文了。我覺得小考就是用來測驗自己吸收了多少，雖然本能上抗拒小考，但它的確是有存在的必要性。
3,3,5,3,3,這次的考試雖然我非常努力地想要把150頁的原文書看完，但礙於時間關係，其實150的原文書一個人其實真的讀不完。透過這次考試，讓我知道團隊合作的重要性，我們透過分工，4個人努力分段把150頁的原文書努力讀完。讓我了解憶起讀書的重要性。
3,3,3,3,3,這次的資概考試雖然準備時間不是很充裕，但我還是將考試範圍努力的唸完了，這次題目中有很多觀念都是老師上課都有提到的重要觀念，以及課本也都有提到，這次考試的成績應該不至於會太差。
3,3,3,3,3,其實我在老師說要考試之前，我已經有先閱讀過此書，所以這考試其實只是有點小緊張，但也因為是上大學以來第一次考試，心情難免會有一些不穩定，但當我進入考場後看到考卷上的題目，雖然在課本上有少許的題目，但總體而言發揮的不是太理想，而經過這次考試也讓我知道考試的準備方向。
3,3,3,3,3,經過了大學第一次小考，在剛開始知道範圍那麼大加上還不是很理解書裡在說什麼，所以在準備的時候有點慌，不過有做過一些習題以及考古題後有比較知道大概題目是在說什麼，而且這次考試的題目有在考古題或課本沒出現的，有多花一點時間想了，而且考古題有些題目我還不是做得很熟練，所以也花了不少時間也不一定寫對，只有60分鐘有剩一些題目沒做完，希望之後的小考能早點做準備並且熟悉題目，而且作答時間也要分配好，才不會像今天有些題目都還沒認真思考過就時間到要交卷了。
3,5,5,3,3,我覺得我有用心準備考試，我應該能考得不錯吧!學了很多呢。
3,1,3,3,5,很多不會的，對演算法還不夠了解
3,3,3,3,3,今天考第1，2，3章的內容，考試時間十分緊迫，收卷時我才剛好寫完，來不及檢查，現在考完後回想我第一題好像寫錯了，不過現在後悔業來不了，只能下次謹慎點，並做好充足的準備。
3,3,3,3,3,Today we have a test，I just answer a little question。QQ
3,3,5,3,3,這星期六的考試讓我比平常更加的研讀課本的內容，我發現課本講了許多東西，因此我以後應該要更常閱讀課本才是。大部分的考試內容我都有印象在課本看過，而我也發揮出我的實力去作答，相信應該不至於太差。不過我仍有需要加強的地方，因此之後上課我也要更認真才行。
3,3,3,3,3,信考古題者得永生，
3,3,3,3,3,上大學的第一次考試，超緊張。考前搭配著課本和學長姐給的考古題，一直努力反覆地看，前天還熬夜到很晚，而且大家都以為今天1點要先上一堂課，所以都很早就過去了，結果不用上課等2兩點直接考試，所以又多準備了1個小時。一拿到考卷寫第一題的時候就想說完蛋了，沒看過的題目，不過幸好最後還是有寫出一些東西，希望可以拿到一些部分分數。後面的題目都跟考古題有些類似，所以寫得蠻順的，不過考試的時候真的有點緊張，有些在考前明明都記得但到考試都忘記了，不過整張考卷我都有答完，已經盡我最大的努力了，希望可以拿到理想的分數!
3,3,3,3,3,來大學第一場考試就是資訊概論 ，第一次考試很緊張 ，但好險老師都考上課教的東西，不會讓我們不會寫
3,3,3,3,3,考試的內容都與上課相關，包含 Alan Turing 與 Steven Jobs 對 Computer Science 的貢獻，我有在下課後另外查過資料，不過考試時間分配沒有掌握好，導致有些問題沒有回答到，應該再加強閱讀能力。
3,3,3,3,3,要念得內容蠻多的，最後還是沒能全部念完，但至少對於演算法越來越熟悉了，考試過後對於出題方向也有了概念，整體都有了初步的進度，多虧這次考試，大學生活感覺步上軌道了，雖然這次考試應該沒辦法考好但我會繼續努力，期待能越來越進步。
3,5,3,3,3,經過本次的考試，讓我更了解資訊概論前三章的內容，以及考試大概的題目方向，更清楚瞭解以後考試的準備方法，對於原文書的閱讀更熟悉，能夠減少花費時間並更了解課程。
3,3,3,3,5,這算是我第一次寫全英文考卷，有點不適應，考到最後發現並不是不會寫，是題目看不懂而不知道怎麼寫，也讓我知道我非常非常需要加強英文。
3,3,3,3,5,經過這次考試後，我得知了自己的無知，還不夠認真的態度。我以後會更加認真的上課、更努力的理解課本的內容，還會花更多的時間在課本內的習題上。希望自己能更進一步的學習，讓自己的知識背景更加豐富。
3,3,3,3,3,雖然第三章還有一些沒讀完，但寫起來比想像中順手，希望之後能繼續保持
3,3,5,3,3,經過第一次考試後，我了解了老師出題的方式，並在讀書時更有方向，也知道了自己的不足，未來會再更努力改正自己的缺點
3,3,5,3,3,自從教授說這週六要考資概以來，每天都有撥出一點空閒時間來讀資概，不同於高中的課本是由中文寫的，大學的教材都以英文居多，增加閱讀困難度，準備起來有點吃力。雖然一開始可能很不適應，不過閱讀原文書可以增進英文能力，對日後攻讀研究所也有很大幫助，日後還是要多多努力。考試的內容都是上課教授有提過的，部分內容可能不太明白，以至於考試時寫不出答案，期許自己未來上課要專心一點，下課多問問題。
3,3,3,3,3,對不起，我忘了填９／２５的心得ＱＱ，今天考試雖然從好幾天前就開始看了可是感覺還是考得慘不忍睹，好多地方看了課本才發現其實很複雜不好懂（像９／２５的binary search\shuffle left algorithm\converging algorithm)，下次會再繼續努力，早點發現自己的不足，還有>   <請問教授可以放ppt在portal上嗎，上課筆記來不及抄
3,3,3,3,3,考試的方式不是選擇題 所以必須要讀熟考試的範圍 題目也有考一些名人的貢獻  因為考試範圍看過去 人名很多 有時候 即使讀完了 看到題目給的名人 也會搞混 除非是大家比較常見的 像是Steven Job 這次考試因為課本比較晚到 也慢了很多時間才開始讀 感覺不太理想 下一次考試應該就沒問題了
3,3,3,3,3,本次是大學生活以來第一次的考試，對於全英文的題目，經過前陣子原文書的歷練，已經不會陌生了。雖然我沒有交系費，而拿不到考古題，不過事實上這些題目幾乎都看得懂，我相信以我自己的實力也可以順利通過以後的測驗。
3,3,3,3,5,第一次考試抓不到老師會考的重點，所以讀起來有點吃力，加上這次的範圍很大，有點吃不消。所以考試的時候不太會寫，不過下一次應該會好一點
3,3,3,3,3,我覺得難度應該算還適中，不過我的英文能力不好，好幾題的題目都看得很模糊，這次考試我最需要加強的是英文
3,3,5,3,3,面對上大學後的第一次考試，心情蠻緊張的，在拿到書後的一個禮拜，我可以說是全心全意在準備這次的小考，在準備的過程中，讀到Order of Magnitude時，遇到了一些小困難，後來靠著書上的說明還有上網查資料，不僅看到考試題目有考到這部分的時候覺得游刃有餘，在搜尋的過程中還順便看到了Big O的概念。雖然我並沒有考古題可以讀，但這次的考試對我來說，我認為問心無愧，我是有用心準備的！唯獨題目中最後一題問到關於大數據的應用，我不知道怎麼回答，可能要再多多接觸最近熱門的領域。
3,3,3,3,3,今日參與了第一次的測驗，緊張程度是一定有的，在大學的第一次考試就獻給了資概，有點懺悔於不知道該如何準備這次考試，加上完全是新的規模，所以沒有表現得很好，但我還是盡我的全力了!!
3,3,3,3,3,只要有讀書，基本上都寫得出來，希望自己讀書的成果有所收穫，把自己成果量表化後才能得知自己的不足在哪裡
3,3,3,3,3,在讀書的時候因為英文有些就算翻譯了還是沒看得很懂，就去圖書館找了類似的中文書，第三章Lab說的四個sorting在那本書裡都有提到，也知道時間複雜度的意思，我覺得自己對於課本內容的概念有更清楚些了。考試題目很多，寫不完，所以先挑了幾題自己能馬上寫出來的寫。
3,3,3,3,3,我在考試前以為答題時必須使用英文作答，但後來才發現可以使用中文作答，其實這一科是用英文的，為何考試時可以用中文呢？此外，考試題目不難不易，感覺可以。 
3,3,5,3,3,對於這一次考試，我覺得有非常大的跟進空間，因為雖然我在考試前有溫習，但是我在考完後還是覺得不足夠，所以我會在之後的考試會在更早的時候溫習，令考試可以有更好的成績。
5,3,5,3,3,這是第一學期的考試，我準備了一個星期。把握有限的時間把書的內容部看過，也把一些定義用英文記過，看過。但時間和能力有限，只能記得一大部份。我個人認為，考試的內容很有趣味，真的會把溫習用的問題，我也能把大部分的題目用英文答過。希望統一英文作答。令考試公平。因上課是英文受課。
3,3,3,3,3,這次上課內容雖然有點不懂，但是下課後跟同學討論後，很快就瞭解了。除了認真上課外，跟同學討論也很重要，能夠知道不一樣的看法。
3,3,3,3,3,這禮拜教了邏輯電路，邏輯閘之間的使用以及邏輯，以及補數的運用方式，在對於接下來的大二的數位系統設計，也能先有所準備
3,3,3,3,3,再說上課心得之前想先反映一下，是否可以統一時間關閉心得填寫心得?前幾周有時候是下午四點，有時又突然變成十二點，我們知道填寫這些心得是屬於學生的本分，應該自己注意作業的時間，可是又突然跳出來一個考試之後的心得，之後我們也會確認一下時間的。
3,3,3,3,3,這次的課堂 讓我對於 補數的運用以及邏輯電路的配置以其原理 讓我有了一些了解，對於之後的數位系統設計算是前面的前置課程 也讓我好好 了解到 資概的重要性
3,3,3,3,3,今天課堂中，老師說到關於人工智能的應用令我擭益良多，例如各種棋類上，即使同樣為棋類但亦會受其複雜度影響其人工智能的設計，例如國際象棋上，由於複雜度較低，透過樹的結構，計算所有可能性後便能擭取勝利，但圍棋則不一樣，由於複雜度太高，假設採取同樣的方法去計算，便需要花耗巨大的時間才能計算出一步棋，並未能應用於比賽上。
3,3,3,3,3,還不錯
3,3,3,3,3,學習到二進位的表示法，還有數位邏輯，進而學到電路的設計。1。先做truth table 2做出product term 。3。sum of product term 4。 再來是diagram 5。最後是簡化電路。另外Nor 和 Nand 可以比Or 和And gate 更省成本。
3,3,3,3,3,今天上了and or not，電晶體和電路圖
3,3,3,3,3,今天上了邏輯電路的部分，一開始聽不太懂如何課本範例的圖片，經過老師兩三個例子的解說以後，慢慢進入狀況，不過今天也讓我看見資概的內容有加深的感覺，需要更專心聽課。
1,1,1,3,3,那間上課教室的有夠熱的，熱死了   根本沒心情聽課  ，密閉空間，冷氣沒冷，整間教室都是CO2，不感到昏睡才奇怪吧= =，教室也很臭，今天教授講的我都覺得非常的酷喔，如果沒有冗長贅字，一切都能很平靜的，但是人實在是很難對自己沒有興趣的東西感到有精神或是任何的參與感，兩節課中間沒下課，那可不可以去上廁所阿??  我很想知道
3,3,3,3,3,今天的上課內容是有關二進位以及字母和符號的表示法，我早對於二進位有些概念了，這次課本上介紹了二補數以及在二進位表示正負號的方法。今天的課程心得差不多就是這樣了
